"","molSIDs","XLogP","MW","LipinskiFailures","nRotB","MLogP","nAtomLAC","nAtomP","nAtomLC","nB","nBase","nAtom","nAromBond","naAromAtom","ALogP","ALogp2","AMR","nAcid","nSmallRings","nAromRings","nRingBlocks","nAromBlocks","nRings3","nRings4","nRings5","nRings6","nRings7","nRings8","nRings9","tpsaEfficiency","Zagreb","WPATH","WPOL","WTPT.1","WTPT.2","WTPT.3","WTPT.4","WTPT.5","VAdjMat","VABC","TopoPSA","topoShape","geomShape","PetitjeanNumber","MDEC.11","MDEC.12","MDEC.13","MDEC.14","MDEC.22","MDEC.23","MDEC.24","MDEC.33","MDEC.34","MDEC.44","MDEO.11","MDEO.12","MDEO.22","MDEN.11","MDEN.12","MDEN.13","MDEN.22","MDEN.23","MDEN.33","khs.sLi","khs.ssBe","khs.ssssBe","khs.ssBH","khs.sssB","khs.ssssB","khs.sCH3","khs.dCH2","khs.ssCH2","khs.tCH","khs.dsCH","khs.aaCH","khs.sssCH","khs.ddC","khs.tsC","khs.dssC","khs.aasC","khs.aaaC","khs.ssssC","khs.sNH3","khs.sNH2","khs.ssNH2","khs.dNH","khs.ssNH","khs.aaNH","khs.tN","khs.sssNH","khs.dsN","khs.aaN","khs.sssN","khs.ddsN","khs.aasN","khs.ssssN","khs.sOH","khs.dO","khs.ssO","khs.aaO","khs.sF","khs.sSiH3","khs.ssSiH2","khs.sssSiH","khs.ssssSi","khs.sPH2","khs.ssPH","khs.sssP","khs.dsssP","khs.sssssP","khs.sSH","khs.dS","khs.ssS","khs.aaS","khs.dssS","khs.ddssS","khs.sCl","khs.sGeH3","khs.ssGeH2","khs.sssGeH","khs.ssssGe","khs.sAsH2","khs.ssAsH","khs.sssAs","khs.sssdAs","khs.sssssAs","khs.sSeH","khs.dSe","khs.ssSe","khs.aaSe","khs.dssSe","khs.ddssSe","khs.sBr","khs.sSnH3","khs.ssSnH2","khs.sssSnH","khs.ssssSn","khs.sI","khs.sPbH3","khs.ssPbH2","khs.sssPbH","khs.ssssPb","Kier1","Kier2","Kier3","HybRatio","fragC","FMF","ECCEN","SP.0","SP.1","SP.2","SP.3","SP.4","SP.5","SP.6","SP.7","VP.0","VP.1","VP.2","VP.3","VP.4","VP.5","VP.6","VP.7","SPC.4","SPC.5","SPC.6","VPC.4","VPC.5","VPC.6","SC.3","SC.4","SC.5","SC.6","VC.3","VC.4","VC.5","VC.6","SCH.3","SCH.4","SCH.5","SCH.6","SCH.7","VCH.3","VCH.4","VCH.5","VCH.6","VCH.7","C1SP1","C2SP1","C1SP2","C2SP2","C3SP2","C1SP3","C2SP3","C3SP3","C4SP3","ATSp1","ATSp2","ATSp3","ATSp4","ATSp5","ATSm1","ATSm2","ATSm3","ATSm4","ATSm5","ATSc1","ATSc2","ATSc3","ATSc4","ATSc5","nHBDon","nHBAcc","PPSA.1","PPSA.2","PPSA.3","PNSA.1","PNSA.2","PNSA.3","DPSA.1","DPSA.2","DPSA.3","FPSA.1","FPSA.2","FPSA.3","FNSA.1","FNSA.2","FNSA.3","WPSA.1","WPSA.2","WPSA.3","WNSA.1","WNSA.2","WNSA.3","RPCG","RNCG","RPCS","RNCS","THSA","TPSA","RHSA","RPSA","bpol","apol"
"1","124897530",1.135,369.1688564,0,10,2.89,3,8,10,28,1,50,12,12,0.8444,0.71301136,99.0052,0,2,2,2,2,0,0,0,2,0,0,0,0.32917186239657,130,2090,37,53.5916944577195,1.98487757250813,18.4628808057063,10.0026078694831,8.46027293622322,5.8073549220576,352.386292936079,121.52,0.875,NA,0.466666666666667,0,1.41746716974994,1.69875604535231,0,11.0900904994693,19.4318194547159,0,6.82565739307169,0,0,0.76472449133173,0,0,0,0.471404520791032,0,0.333333333333333,0,0,0,0,0,0,0,0,1,0,2,0,0,9,2,0,0,3,3,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.280612244898,11.8699780861943,8.09951325040563,0.25,1899.07,0.703703703703704,641,19.8111903089421,12.8630811007041,11.5403535743073,8.71872172063683,6.30825260845408,5.15264288654193,2.84509614852241,1.79626466217814,15.0143752595402,8.5409921402467,6.20560182517891,3.96143357194123,2.56531098363743,1.6775233800895,0.837832975991962,0.466190350262381,3.66518874491724,4.68080041710843,6.48084454923983,1.14472254846884,1.32645389190456,1.42725218421506,1.89823551414485,0,0.35015893855065,0,0.715546468408532,0,0.0645314495825274,0,0,0,0,0.185395405949299,0.201184463531091,0,0,0,0.059852792732757,0.0481019623854481,0,0,2,11,2,2,3,0,0,1590.90663702938,1782.88313782355,2289.99856140194,2281.54801806798,2063.7293606816,31.1778170459932,30.1592775744325,41.2627485891917,42.1483473464685,38.7058348127511,0.587338900860644,-0.212712046924299,-0.0987791293325212,0.0944168237796844,-0.10597945613408,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.677761,57.044239
"2","124897303",4.498,249.0953777,0,2,3.11,2,18,2,21,0,31,17,16,4.2287,17.88190369,75.5003,0,3,3,2,2,0,0,0,3,0,0,0,0.0517472468538705,98,758,27,39.30632261394,2.06875382178632,5.63353485247016,0,3.1134366102279,5.39231742277876,226.155011989407,12.89,0.833333333333333,NA,0.454545454545455,0,0,0,0,17.0339671874339,19.0562925518767,0,3.10267168393334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.9591836734694,6.63520408163265,3.55555555555556,0,747.02,0.947368421052632,360,13.0791395013733,9.32649984049492,8.10262255832752,6.80433431351902,5.49764797193768,4.69053714138075,2.83449305662025,1.90055113075041,10.2533812987847,6.1021974686884,4.30221272663824,3.00811636608393,2.02488223091003,1.38147240391774,0.669113205317745,0.381407891199726,2.22194308759719,3.34980311057499,4.59156020789469,0.768429985354517,0.979928519331492,1.06517494230859,0.962215376648032,0,0.136082763487954,0,0.379270963118636,0,0.0426901610287327,0,0,0,0,0.234708048410644,0.393634553260967,0,0,0,0.0741894553680538,0.0887377782014084,0,0,1,13,3,0,0,0,0,1212.39884355758,1398.53061769622,1865.59497077533,1782.43223525473,1318.56076385439,20.8620244403191,21.914148977886,29.6621160225917,28.6621160225917,21.0803309110665,0.140527587466663,-0.058827786025222,-0.0152987999457916,0.00339839093332032,0.00236407355046597,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.641484,39.578516
"3","124753561",4.554,657.230885379999,0,11,4.21,0,9,4,52,0,83,23,23,4.7561,22.62048721,175.0073,0,6,4,4,4,0,0,3,3,0,0,0,0.174017993591207,262,7583,87,96.0770880063523,2.04419336183728,31.1195821010807,15.1559924592157,10.1785206570131,6.70043971814109,586.870954951775,114.37,0.888888888888889,NA,0.470588235294118,0.718611258085941,8.50797978150321,7.6924070958649,0.630786639872465,26.0493649084587,46.5317133042186,4.41328345345615,17.4552980209739,4.57939658572908,0,1.15412400129938,0.746061563424753,0,0,0,0,0,0,0.635903899768996,0,0,0,0,0,0,4,0,4,0,0,14,2,0,0,3,8,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.7795857988166,14.9254927095017,7.22798474149825,0.305555555555556,5582.11,0.680851063829787,1331,33.6726331495784,22.3444281345741,21.6862890497888,18.3453541540639,15.1662754891224,13.0729191042119,10.1608924445847,8.18627781072991,26.8471164954346,15.748478732015,13.0791821950084,9.70803356314627,7.4840802006363,5.64571752903322,3.99785327544908,2.89900748163336,10.4013588508113,16.6982678851254,25.2399787020335,4.50952292407113,6.88051821836541,9.1673605972027,4.67116305197159,0.35671651633879,1.60321877595622,0.242908328088979,2.21543969488797,0.0966427182389392,0.530350762733161,0.0539205691964182,0,0,0.225176222007654,0.880393610121424,1.56111012861855,0,0,0.143905053986747,0.453140442068028,0.729829028855183,0,0,3,18,4,2,2,3,0,4026.47543097083,4973.11616051753,7711.27651942167,8355.03353042987,8597.41171038703,60.3565522945678,64.1902517082224,90.6437389794168,100.498796690558,103.548596721014,0.986870060319964,-0.554960483711892,0.0770834779311634,0.204424755593108,-0.347424396473854,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.764452,98.933548
"4","124753354",8.321,501.14646066,1,9,2.89,4,16,5,34,0,60,16,15,4.1324,17.07672976,119.9935,1,3,3,2,2,0,0,1,2,0,0,0,0.183439387916518,162,182000001631,45,65.1715883715872,1.97489661732082,26.9989904281431,4.65470053837925,9.85205631544405,6.08746284125034,426.553020492309,91.93,999.000999000999,NA,0.999000000999,0.367048714291616,5.11288787524344,0.357948177686204,3.000000003e-09,11.5977699781019,2.05934698982019,1.1000000011e-08,0.0605500659227377,1.06681714666412e-07,0,0.5,0,0,0,0,0,0.333333333333333,1,0,0,0,0,0,0,0,3,0,4,0,0,7,1,0,0,1,5,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.2318339100346,13.921231326392,9.18367346938776,0.391304347826087,2665.1,0.454545454545455,-719476804,24.5956473593183,15.5610991735538,14.4520057143283,10.7876893999263,7.3345113578064,6.27982719874798,4.51684877598322,3.45267453266088,20.1896500646739,11.8078211144226,9.27715167615575,6.19125639348202,3.86460074406476,2.77007370493976,1.7045466207861,1.13586252264365,6.04609579946504,6.09621890656476,8.09585325772642,2.20126686353795,2.42425391091202,2.87217811002726,3.17775657659801,0.288675134594813,1.1132192783835,0.288675134594813,1.39031172926004,0.013498731178901,0.0834995169992613,0.00246451985479412,0,0,0.0785674201318386,0.363402302906629,0.651344341833185,0,0,0.025,0.103161865382856,0.174961523129474,0,0,4,9,1,5,4,0,0,2172.68306372714,2506.00469931246,3428.62512112396,3413.95031024886,3126.49534033188,53.9757143383381,42.8641538696478,67.3222389065941,63.233908949626,44.5675096815945,0.770303825478774,-0.337273448725665,-0.243731651082805,0.222480846661516,-0.0647520543705309,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.743589,70.138411
"5","121286038",4.515,637.22465712,0,10,4.32,2,24,4,52,0,81,28,27,5.0096,25.09609216,174.0949,0,7,5,4,4,0,0,3,4,0,0,0,0.209251162066834,258,7787,79,95.5473951161796,2.07711728513434,29.8655610957722,16.8815541953871,9.77414507701203,6.70043971814109,557.546937400669,133.34,1,NA,0.5,1.5,5.66340715476289,5.12860006843843,3,22.887792347365,46.2113111497406,2.13295457110476,19.0716783876295,1.97272713328804,0,0.39685026299205,0.83677138148454,0.400594354514599,0,0,0,0.333333333333333,0.408248290463863,0,0,0,0,0,0,0,3,0,5,0,0,13,1,0,0,1,10,2,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.4489644970414,14.6938775510204,7.40904236383054,0.277777777777778,5499.1,0.782608695652174,1426,32.0010602743246,22.1900230490905,21.147196691266,18.0069093576263,15.2011220677829,12.8278207516107,9.76703758130101,7.73412647552015,26.3684298829308,15.9102090084252,13.7251994761015,9.30320908153417,6.86098924283125,4.94097368412852,3.22956339428865,2.14133338596607,8.73167734352702,13.2833598708545,19.2318050548738,4.20055351492904,5.8320633772525,7.40309694826118,3.99187787765353,0.288675134594813,1.20576684712213,0.166666666666667,3.07868659731691,0.43355498476206,0.4791594755977,0.0791559483576629,0,0,0.292643595194534,0.85040154311279,1.35279572917585,0,0,0.104569111557643,0.299548942861029,0.432437818130477,0,0,1,19,6,6,2,1,0,3830.8587959352,4657.42793147706,6906.85189556622,7174.09818543293,7176.23771692954,57.8545081555251,61.9934673433706,92.5451493327018,92.3966342774688,90.0679944797103,0.906851770308515,-0.523296661167885,0.0817506359879273,0.0160482777261308,0.0403083719667399,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.306245,97.709755
"6","121285970",7.398,366.069054,1,3,3.33,0,15,0,28,0,41,22,21,7.1542,51.18257764,100.7632,0,4,4,3,3,0,0,1,3,0,0,0,0.0472588431361915,136,1437,39,51.7606028801145,2.07042411520458,11.8525076481308,0,6.77119996627852,5.8073549220576,304.797369990001,17.3,0.833333333333333,NA,0.454545454545455,0,2.08868453919247,1.51491586641363,0,14.9788358532644,27.0096780359379,0,7.77621183728587,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,1,0,1,0,0,11,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.3673469387755,7.935,4.13527945888216,0.0952380952380952,1336.04,0.88,466,17.3885405781318,12.097356788324,11.2990272016203,9.30160099792974,7.91083284809715,6.8339578573255,4.86272771447104,3.56921852499432,15.2201737713277,8.83571942817092,7.02821685170275,4.72564677887591,3.39267594766961,2.45851957580877,1.49261455633464,0.92507597696105,3.72757282737996,6.00462513028946,8.84418502502498,1.60807016303707,2.16757119821162,2.6804411749237,1.81173117281357,0,0.247193874599065,0,1.00305899350444,0,0.0758000092382105,0,0,0,0.0785674201318386,0.446735636239962,0.810802313388912,0,0,0.025,0.136117312690297,0.228424997043942,0,0,2,14,3,1,1,0,0,1980.32174190299,2355.8650915467,3369.05515950584,3335.0018201067,3045.98988974575,41.1458604182505,32.7344509447784,49.330336391292,48.627068974363,44.1365380231959,0.183705438112613,-0.0980839021196414,-0.00725759776679836,0.0305504618260293,-0.0261547783604878,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.631312,54.188688
"7","121285934",7.128,376.13424114,1,4,3.55,0,15,2,30,0,48,22,21,6.9596,48.43603216,107.4628,0,4,4,3,3,0,0,1,3,0,0,0,0.0705333285254541,146,1795,44,55.6303202697222,2.06038223221193,12.1065178530515,2.78174106842289,6.77231576248746,5.90689059560852,332.968498171862,26.53,0.857142857142857,NA,0.461538461538462,0.346324701979296,5.60459992066931,5.09671354240329,0,12.4335469039561,27.6667138280379,0,9.62273901130848,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,3,0,1,0,0,10,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.28,8.78853434288805,4.45184304399524,0.173913043478261,1899.04,0.814814814814815,578,18.9658908473214,13.0460451933078,11.9859139255469,10.258931223161,8.39304621788471,7.36125952762012,5.27287037463687,3.86663169560793,16.4171783735743,9.29781182101954,7.25427564948001,5.13760875257703,3.51359345433582,2.61791180410852,1.58083030489735,0.993444844284425,4.41106509926394,6.71691256706928,9.9549229021307,1.88843179912663,2.36891192593671,2.98502514984929,1.92542496528094,0,0.365045004796823,0,1.01066664845942,0,0.134725574337089,0,0,0,0.0785674201318386,0.431443684650606,0.832809841565614,0,0,0.025,0.132395796128754,0.228173636762256,0,0,2,13,4,2,1,0,0,2075.24134241577,2475.52890818543,3576.69396396114,3635.60595148843,3299.55043768492,36.2073795459427,33.4468642596054,49.0909790666809,50.387711649752,44.8971806985849,0.309841371562375,-0.176567744573263,-0.00433837463348685,0.0439384429060712,-0.0173527396300308,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.593347,59.664653
"8","121285582",3.819,330.10923118,0,2,2.56,0,17,3,27,1,37,17,17,3.7598,14.13609604,86.9979,0,4,3,2,3,0,0,1,2,1,0,0,0.129472295722306,134,1379,42,49.7343725568752,2.07226552320313,19.94587295884,0,12.8017141622123,5.75488750216347,261.56041031452,42.74,1,NA,0.5,0,0,0,0,11.9543200956274,20.3140193113499,2.04071063900733,4.55134114533948,1.26847402936514,0,0,0,0,0,0,0,1.19055078897615,1.65096362444731,0,0,0,0,0,0,0,0,0,2,0,0,8,0,0,0,0,6,0,1,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.4156378600823,6.9575,3.61836952652189,0.176470588235294,1048.07,0.833333333333333,505,16.7338400397525,11.5209879534945,11.2605370589585,9.16268296778433,7.73393175339314,6.04174523873644,4.73444216365445,3.70577535109541,12.5085499214177,7.43464896848737,5.65930733939012,4.09470393136021,2.8698462086586,1.96031426682908,1.25602353821106,0.789881510347695,4.58793065953177,6.7817680373756,8.41998185173198,1.39422890296137,1.77760212790432,1.99087934950556,2.44919516472442,0.288675134594813,0.707984354269063,0.144337567297406,0.692039207470943,0.013498731178901,0.124690548579734,0.00449957705963366,0,0,0.117851130197758,0.302749430154621,0.410893451693179,0,0,0.0258198889747161,0.0830014020648758,0.0997404916468715,0,0,1,9,4,3,0,0,0,1566.25197522937,1883.17761501993,2710.86025373091,2908.03983999911,2350.58296645317,29.9460536222339,30.2962256030307,48.2732873847843,47.6786922354123,41.5401267371474,0.40310587794448,-0.218506647077174,0.0246057325421681,-0.041939792651532,0.0498296776277586,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.460691,44.659309
"9","121285260",6.867,406.06807548,1,4,3.44,0,15,2,29,0,45,22,21,6.5574,42.99949476,105.2396,0,4,4,3,3,0,0,1,3,0,0,0,0.0653338728208066,140,1579,42,53.7865648190672,2.06871403150258,12.1291624128759,2.80229165973023,6.77425798051124,5.85798099512757,319.745064753129,26.53,0.833333333333333,NA,0.454545454545455,0.0909090909090909,4.04585394600839,3.02060668111593,0,14.8078608055791,26.7067252291652,0,8.30454723744203,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,2,0,1,0,0,11,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19.3222354340071,8.56632956573468,4.22448979591837,0.136363636363636,1654.04,0.846153846153846,485,18.0956473593183,12.6521983431904,11.3740888137466,9.81689294951909,8.23393134099105,7.13031862960554,5.02625257266066,3.78817322388384,16.3245962358601,9.3021620150447,7.25294715111879,5.02587655207215,3.54525452179203,2.65108049173152,1.58510672231263,1.02496505255879,3.94674068050659,6.34385001550494,9.24266353816835,1.73950291126301,2.30587772156449,2.92794535256273,1.65226522632016,0,0.330527207932399,0,0.99555786336629,0,0.0998562704544449,0,0,0,0.0785674201318386,0.446735636239962,0.786394545154457,0,0,0.025,0.136117312690297,0.226128398829882,0,0,2,14,3,1,1,0,0,2063.36985957453,2456.61850954965,3527.3924600049,3587.20153950206,3296.54893752286,70.7525204294093,36.1477690813119,54.4927887100939,56.7366367880855,51.2989903419979,0.296338215600536,-0.171451612015874,0.0166386425119121,0.00307506940729162,-0.0269260203145359,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.276933,57.441067
"10","121285254",7.944,338.1549766,1,3,3.44,0,15,0,27,0,47,16,15,3.7705,14.21667025,90.9884,0,4,3,3,2,0,0,1,3,0,0,0,0.0511599745594281,130,1284,37,49.9028884918205,2.07928702049252,9.32305201795498,0,6.77071599014469,5.75488750216347,308.395678321967,17.3,0.833333333333333,NA,0.454545454545455,0,2.16830424158079,1.45214720245012,0,17.9394138917601,25.3236389139395,0,6.55310501224886,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,1,0,6,0,0,7,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.4156378600823,7.70914127423823,3.90772779700115,0.380952380952381,1948.03,0.916666666666667,445,16.5182970901287,11.7035099382067,10.6652600068888,8.98134774817134,7.55987276836218,6.6921240702923,4.59946176548048,3.47191652024629,14.8897634506639,9.31859699440947,7.49324386152614,5.43672081288959,4.03034337609279,3.14491524233976,1.75717031069299,1.17612584073713,3.38326845258101,5.44163247235564,8.21342116491344,1.61542987064247,2.22028687534135,2.88180266254467,1.52305603821875,0,0.247193874599065,0,0.900349772034002,0,0.0758000092382105,0,0,0,0.0785674201318386,0.465464375522594,0.740712198605402,0,0,0.025,0.210401607528485,0.250822258739015,0,0,2,9,2,1,6,1,0,1876.54838932123,2230.61347059373,3180.18158129742,3142.92152474279,2861.20073250241,32.4329105104017,29.7826803053403,43.4267951124158,42.7235276954869,38.2329967443197,0.154959234051639,-0.0891932373095489,0.00138277265583517,0.0206582975728716,-0.0257960327307188,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.863761,56.676239
