"","molSIDs","XLogP","MW","LipinskiFailures","nRotB","MLogP","nAtomLAC","nAtomP","nAtomLC","nB","nBase","nAtom","nAromBond","naAromAtom","ALogP","ALogp2","AMR","nAcid","nSmallRings","nAromRings","nRingBlocks","nAromBlocks","nRings3","nRings4","nRings5","nRings6","nRings7","nRings8","nRings9","tpsaEfficiency","Zagreb","WPATH","WPOL","WTPT.1","WTPT.2","WTPT.3","WTPT.4","WTPT.5","VAdjMat","VABC","TopoPSA","topoShape","geomShape","PetitjeanNumber","MDEC.11","MDEC.12","MDEC.13","MDEC.14","MDEC.22","MDEC.23","MDEC.24","MDEC.33","MDEC.34","MDEC.44","MDEO.11","MDEO.12","MDEO.22","MDEN.11","MDEN.12","MDEN.13","MDEN.22","MDEN.23","MDEN.33","khs.sLi","khs.ssBe","khs.ssssBe","khs.ssBH","khs.sssB","khs.ssssB","khs.sCH3","khs.dCH2","khs.ssCH2","khs.tCH","khs.dsCH","khs.aaCH","khs.sssCH","khs.ddC","khs.tsC","khs.dssC","khs.aasC","khs.aaaC","khs.ssssC","khs.sNH3","khs.sNH2","khs.ssNH2","khs.dNH","khs.ssNH","khs.aaNH","khs.tN","khs.sssNH","khs.dsN","khs.aaN","khs.sssN","khs.ddsN","khs.aasN","khs.ssssN","khs.sOH","khs.dO","khs.ssO","khs.aaO","khs.sF","khs.sSiH3","khs.ssSiH2","khs.sssSiH","khs.ssssSi","khs.sPH2","khs.ssPH","khs.sssP","khs.dsssP","khs.sssssP","khs.sSH","khs.dS","khs.ssS","khs.aaS","khs.dssS","khs.ddssS","khs.sCl","khs.sGeH3","khs.ssGeH2","khs.sssGeH","khs.ssssGe","khs.sAsH2","khs.ssAsH","khs.sssAs","khs.sssdAs","khs.sssssAs","khs.sSeH","khs.dSe","khs.ssSe","khs.aaSe","khs.dssSe","khs.ddssSe","khs.sBr","khs.sSnH3","khs.ssSnH2","khs.sssSnH","khs.ssssSn","khs.sI","khs.sPbH3","khs.ssPbH2","khs.sssPbH","khs.ssssPb","Kier1","Kier2","Kier3","HybRatio","fragC","FMF","ECCEN","SP.0","SP.1","SP.2","SP.3","SP.4","SP.5","SP.6","SP.7","VP.0","VP.1","VP.2","VP.3","VP.4","VP.5","VP.6","VP.7","SPC.4","SPC.5","SPC.6","VPC.4","VPC.5","VPC.6","SC.3","SC.4","SC.5","SC.6","VC.3","VC.4","VC.5","VC.6","SCH.3","SCH.4","SCH.5","SCH.6","SCH.7","VCH.3","VCH.4","VCH.5","VCH.6","VCH.7","C1SP1","C2SP1","C1SP2","C2SP2","C3SP2","C1SP3","C2SP3","C3SP3","C4SP3","ATSp1","ATSp2","ATSp3","ATSp4","ATSp5","ATSm1","ATSm2","ATSm3","ATSm4","ATSm5","ATSc1","ATSc2","ATSc3","ATSc4","ATSc5","nHBDon","nHBAcc","PPSA.1","PPSA.2","PPSA.3","PNSA.1","PNSA.2","PNSA.3","DPSA.1","DPSA.2","DPSA.3","FPSA.1","FPSA.2","FPSA.3","FNSA.1","FNSA.2","FNSA.3","WPSA.1","WPSA.2","WPSA.3","WNSA.1","WNSA.2","WNSA.3","RPCG","RNCG","RPCS","RNCS","THSA","TPSA","RHSA","RPSA","bpol","apol"
"1","124897570",2.618,291.12592892,0,4,3.22,2,20,2,24,0,39,17,16,4.2245,17.84640025,88.2103,0,3,3,2,2,0,0,0,3,0,0,0,0.107685358416202,112,1139,34,45.2029609971527,2.05468004532512,8.7062459631504,5.59134096963255,3.11490499351784,5.58496250072116,272.259875791956,31.35,1,NA,0.5,0.2,3.10335722662684,2.38647351313894,0,14.6419450164203,19.8244928345158,0,4.59584303826363,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,9,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.84375,8.203125,4.11032990805841,0.105263157894737,1219.03,0.818181818181818,448,15.3635965517494,10.8131930479395,8.99245872571029,7.96611582876888,6.60343803019535,5.33796681558406,3.3626075859132,2.33357341290136,12.6145631375136,7.05462677024205,4.86508223438578,3.54570796193787,2.40747258605403,1.60832861070086,0.822822028388861,0.471200442898738,2.80602238922074,4.57977843277388,5.95431878519158,0.985736163281731,1.30788906557079,1.3847337448002,1.00687357538655,0,0.219416096821288,0,0.434128014481522,0,0.0565790499176215,0,0,0,0,0.219416096821288,0.395713222126161,0,0,0,0.0704679388065104,0.0957320015066222,0,0,1,13,3,0,0,0,0,1429.28523422916,1651.87565030924,2232.44236504619,2248.63153516577,1759.18035199904,23.9089183723584,25.6607317748911,33.8269137080716,36.6013827436125,30.1590056852042,0.38319468702413,-0.212755278314505,-0.0483159145598093,0.145363017901942,-0.104313053036249,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.736519,47.479481
"2","124897452",-0.564,169.00583074,0,0,1.13,0,10,0,12,0,14,10,9,0.2767,0.0765628900000001,40.2011,0,2,2,1,1,0,0,1,1,0,0,0,0.747784851248263,58,138,14,22.2552607251394,2.02320552046722,20.211955565631,2.52795746209433,15.1412640172781,4.58496250072116,102.964696798461,126.38,0.666666666666667,NA,0.4,0,0,0,0,0,0,0,3.53277552900144,0,0,0,0,0,0,0,0,4.42733746647778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.63888888888889,2.80276816608997,1.32231404958678,0,115.07,0.818181818181818,95,7.84493498269124,5.2708569478291,4.90869804619593,3.9280453844475,3.5298173828055,2.20619130975815,1.46824225728353,0.711455708876348,6.07770876399966,3.18606797749979,2.28123058987491,1.48914855054991,0.960410196624969,0.437705098312484,0.215795268256234,0.066863968679372,1.721300820049,3.00488289665562,3.57270083435492,0.562737987356225,0.692180706456217,0.610784032017463,0.82712682514495,0,0.164266426608915,0,0.307221359549996,0,0.05,0,0,0,0.117851130197758,0.206930270632866,0.402057480284333,0,0,0.025,0.036180339887499,0.0677418693812442,0,0,2,1,0,0,0,0,0,604.08901759668,699.606097776367,961.463924574219,752.566368283203,435.460473927734,19.7021235803734,15.7189293833212,24.1333781058009,22.0280602041249,20.8346433078317,0.284233336458131,-0.196247685675216,0.140124655178201,-0.114161939122366,0.0108416682013489,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.859621,18.242379
"3","124897319",4.357,277.14666438,0,3,3.33,0,18,3,23,0,40,12,12,4.3332,18.77662224,90.892,0,3,3,2,2,0,0,1,2,0,0,0,0.0449942272547152,110,949,32,42.9662794626266,2.04601330774412,5.85002660787176,2.81084910322392,3.03917750464784,5.52356195605701,277.006107792195,12.47,0.833333333333333,NA,0.454545454545455,0.721124785153704,4.76058645631031,3.72653491344847,0,12.9216990258922,20.482329563889,0,5.4799137560948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,7,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.8790170132325,7.05078125,3.50459707950243,0.157894736842105,1344.02,0.761904761904762,387,14.8196264773794,10.1858718480016,9.02708022331674,7.73471756109955,6.31792602134606,5.04430391714236,3.50619788526391,2.42092567403513,12.6289645778601,7.03382443706048,5.34094351519062,3.75870757666473,2.56520874306291,1.69416709426492,0.997105929345668,0.575011106119247,3.32624244648068,4.86487800693205,6.2225338582349,1.3898091134549,1.64879236126413,1.72761671405538,1.30274943015462,0,0.386082763487954,0,0.679236745747554,0,0.142289976715421,0,0,0,0.0962250448649376,0.355498860309242,0.522393164690468,0,0,0.0416666666666667,0.124002822642715,0.145867074897107,0,0,0,12,4,0,0,0,0,1525.20623439736,1788.46523777692,2500.4573850342,2383.7805245503,1962.81230593237,22.1344493368174,24.1627297538065,32.996547820626,33.3286397977586,28.3838274845122,0.232459215386238,-0.139601470096893,0.00844131755691223,-0.0172127570097435,0.0987491015370766,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.666933,48.011067
"4","124897185",4.568,277.14666438,0,3,3.33,0,18,3,23,0,40,12,12,4.3332,18.77662224,90.892,0,3,3,2,2,0,0,1,2,0,0,0,0.0449942272547152,110,963,32,42.964953982867,2.04595018966033,5.84481801698613,2.80238480448997,3.04243321249616,5.52356195605701,277.006107792195,12.47,0.833333333333333,NA,0.454545454545455,0.814325284978472,4.51926456683054,3.74841163495528,0,13.3404231515355,20.2306123379355,0,5.23244964016031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,7,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.8790170132325,7.05078125,3.50459707950243,0.157894736842105,1344.02,0.761904761904762,391,14.8196264773794,10.1858718480016,9.0368009268504,7.64821321976827,6.52419239567705,5.02903112607047,3.28316389235532,2.34064691599843,12.6289645778601,7.03382443706049,5.34597656856129,3.72199801571206,2.63344754243626,1.70512050236322,0.935366919367338,0.557719098290848,3.20505673589162,5.22163552601701,6.52757527688469,1.34532809997809,1.75368475190029,1.83180242618124,1.30962300554117,0,0.340206908719886,0,0.682142580465956,0,0.127876760355514,0,0,0,0.0962250448649376,0.355498860309242,0.522393164690468,0,0,0.0416666666666667,0.124002822642715,0.145867074897107,0,0,0,12,4,0,0,0,0,1519.36010738859,1779.83011508713,2484.51081777982,2359.9224351091,1951.22119426781,22.1344493368174,24.1627297538065,32.996547820626,33.5500094176926,29.6607317748911,0.233907271799594,-0.144972247101616,-0.0145119687273278,0.10744456733395,-0.0996585223057384,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.666933,48.011067
"5","124897093",3.478,275.14224768,0,3,3.11,0,19,4,23,0,38,12,12,4.3986,19.34768196,91.6292,0,3,3,2,2,0,0,1,2,0,0,0,0.101620162791279,108,1067,28,43.1030074633315,2.05252416492055,8.92029154141323,0,8.92029154141323,5.52356195605701,270.276958181301,27.96,0.857142857142857,NA,0.461538461538462,0.5,2.59430196895473,1.29253215125056,0,15.7524763327999,19.6336310632753,0,3.56403385943011,0,0,0,0,0,0,0,0,1,1.4142135623731,0,0,0,0,0,0,0,2,0,0,0,3,8,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.8790170132325,7.51300728407908,4.2603550295858,0.111111111111111,1180.03,0.761904761904762,456,14.6564897705629,10.2203466906123,9.13947196650902,7.23629293177504,5.90328234556314,4.88778771122613,3.14920868273116,2.25422254895078,12.1924937475858,6.90478533469802,5.14845168822204,3.26857857295683,2.25829050407055,1.53115545165608,0.808220991584801,0.484902644262255,2.48727011118789,3.70510199358505,4.7653359699149,0.941961928054969,1.19853465196423,1.26699917278453,1.28591267774901,0,0.136082763487954,0,0.6095960944303,0,0.0481125224324688,0,0,0,0.0962250448649376,0.370790811898598,0.504735539957369,0,0,0.0416666666666667,0.127724339204259,0.139859078771429,0,0,0,12,4,0,0,0,0,1417.90561656968,1637.78670744634,2222.14584860227,1985.89780870889,1614.49485316117,22.0799409038294,24.2185064020943,32.1908899671787,29.1632735322631,23.8309096659022,0.0909542222104183,-0.0194039526307526,-0.00125389689902965,-0.0525638983669489,0.0175160090577265,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.564519,46.315481
"6","124896559",4.568,277.14666438,0,3,3.33,0,18,3,23,0,40,12,12,4.3332,18.77662224,90.892,0,3,3,2,2,0,0,1,2,0,0,0,0.0449942272547152,110,963,32,42.964953982867,2.04595018966033,5.84481801698613,2.80238480448997,3.04243321249616,5.52356195605701,277.006107792195,12.47,0.833333333333333,NA,0.454545454545455,0.814325284978472,4.51926456683054,3.74841163495528,0,13.3404231515355,20.2306123379355,0,5.23244964016031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,7,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.8790170132325,7.05078125,3.50459707950243,0.157894736842105,1344.02,0.761904761904762,391,14.8196264773794,10.1858718480016,9.0368009268504,7.64821321976827,6.52419239567705,5.02903112607047,3.28316389235532,2.34064691599843,12.6289645778601,7.03382443706049,5.34597656856129,3.72199801571206,2.63344754243626,1.70512050236322,0.935366919367338,0.557719098290848,3.20505673589162,5.22163552601701,6.52757527688469,1.34532809997809,1.75368475190029,1.83180242618124,1.30962300554117,0,0.340206908719886,0,0.682142580465956,0,0.127876760355514,0,0,0,0.0962250448649376,0.355498860309242,0.522393164690468,0,0,0.0416666666666667,0.124002822642715,0.145867074897107,0,0,0,12,4,0,0,0,0,1519.36010738859,1779.83011508713,2484.51081777982,2359.9224351091,1951.22119426781,22.1344493368174,24.1627297538065,32.996547820626,33.5500094176926,29.6607317748911,0.233907271799594,-0.144972247101616,-0.0145119687273278,0.10744456733395,-0.0996585223057384,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.666933,48.011067
"7","124896036",3.626,288.11551706,0,4,3,2,8,3,21,1,39,12,12,2.6778,7.17061284000001,79.3892,0,2,2,2,2,0,0,0,2,0,0,0,0.0727138899486527,102,885,29,39.7486746587578,1.98743373293789,8.49788371999232,2.56425984719195,3.39561422164619,5.39231742277876,273.936353062895,20.95,0.833333333333333,NA,0.454545454545455,1.5,4.50491354975048,2.48933190915391,3,10.2802258194375,12.2462644275832,1.86788625071835,1.89484851202714,1.1246826503807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,8,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.3718820861678,6.84,4.49632653061224,0.294117647058824,1220.03,0.7,358,14.7507123766271,9.37602866335164,9.21253575715117,6.76497431949156,4.9674674975072,3.7132505443593,2.38795143155614,1.72438624653022,13.0751574253816,7.49646826603691,6.96293783420287,4.28118765881327,2.67090857309864,1.72560199262056,1.00610402065234,0.600780623325933,3.85011184452409,4.68900636916728,5.40897246946483,2.36920964670828,2.41745777045074,2.31342906664495,2.31510082520621,0.288675134594813,0.668714962287735,0.144337567297406,1.86462804255591,0.25,0.368547379468541,0.0833333333333333,0,0,0,0.166666666666667,0.232038087531348,0,0,0,0.0670614878436971,0.100099095874293,0,0,2,8,2,4,0,0,1,1353.01115520714,1538.0476801349,2076.59134283505,1943.73887173538,1502.1125061614,28.8473992446662,23.782408416112,35.5568019838498,36.4053213360069,28.5642730537673,0.291694832193486,-0.1477454875946,-0.048436316233729,0.104454310231669,-0.0742256710247337,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.128933,46.671067
"8","124895085",5.326,275.16739984,1,5,3.55,4,17,5,23,0,42,12,12,3.2533,10.58396089,91.0065,0,3,3,2,2,0,0,1,2,0,0,0,0.0437188417196042,106,1085,28,43.2716736461934,2.06055588791397,3.03944806758513,0,3.03944806758513,5.52356195605701,285.511865717501,12.03,1,NA,0.5,0,2.09381291548455,0.56812410949068,0,20.5889449710373,20.8203217308631,0,3.56403385943011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,3,8,0,0,0,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.8790170132325,8.02222222222222,4.2603550295858,0.2,1516.01,0.761904761904762,484,14.4933530637463,10.3645046429557,8.6640567629834,7.29995353174395,6.01725945372651,4.8023023815297,3.18596314725999,2.32002726303036,12.4721733046455,7.69741151772795,5.42260170435965,3.80655142065745,2.58669281487792,1.70759638970293,0.971363325612739,0.593030732747126,2.19859497659308,3.55716406620102,4.46162226360107,0.888270189003074,1.21813615519796,1.27241319481065,0.877664387285151,0,0.136082763487954,0,0.418393828513641,0,0.0481125224324688,0,0,0,0.0962250448649376,0.370790811898598,0.504735539957369,0,0,0.0416666666666667,0.127724339204259,0.141325367785319,0,0,0,12,4,2,2,0,0,1477.64241542169,1695.58580710491,2266.51054010195,2057.3064169936,1670.11337638592,21.3599803012765,23.3323638663609,30.4985457995413,28.4985457995413,23.3323638663609,0.049325136974914,-0.0248199392632883,-0.00334357622540405,0.00268195631491025,0.000728107362468231,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.617347,50.302653
"9","124894709",2.382,292.1375769,0,3,3.22,2,19,3,24,0,39,17,16,4.625,21.390625,89.9289,0,3,3,2,2,0,0,0,3,0,0,0,0.0552137118790486,114,1142,34,45.0062722293064,2.04573964678666,8.69625525362381,0,6.12223372859621,5.58496250072116,271.743741449307,16.13,1,NA,0.5,0.5,3.38353052672609,1.89344231421127,0,14.3048787404365,20.5181129131064,0,4.88533693439905,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,2,0,0,0,2,9,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.84375,7.71349862258953,4.11032990805841,0.105263157894737,1219.03,0.818181818181818,450,15.526733258566,10.6478670455408,9.52905288278163,7.98398453096966,6.34176990543812,5.16488777970478,3.54647616446538,2.40149998495432,12.623244625095,7.13689812410496,5.3562534608573,3.6204391620335,2.37090434679499,1.57195912130546,0.881386942574819,0.495492758207946,3.35944026649779,4.72983700752308,6.2309570497237,1.26897397025683,1.40493246825638,1.45732673272157,1.37865859927002,0,0.386488648831137,0,0.657809204158104,0,0.129751352104542,0,0,0,0,0.222222222222222,0.387482860816009,0,0,0,0.0716929861647531,0.0888218212910519,0,0,1,13,3,0,0,0,0,1461.26554443515,1688.99172228561,2292.94404774597,2280.29318750871,1763.50882524149,24.2220047415956,25.4126947774274,34.9944798889525,36.839129108187,29.2439011341168,0.231473177798668,-0.108944556550164,-0.048850121337196,0.0595538990834363,-0.0133586217681087,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.087519,47.532481
"10","124894069",2.425,275.1092333,0,5,2.45,4,11,5,20,0,36,11,11,3.2818,10.77021124,76.9336,0,2,2,2,2,0,0,1,1,0,0,0,0.305115168230161,96,799,24,37.8300983980923,1.99105781042591,14.8078030551788,2.4737149613073,9.29442618507611,5.32192809488736,248.658105239195,83.94,0.833333333333333,NA,0.454545454545455,1.5,2.24270772325511,2.46680170140312,3,5.69588468643158,7.1166648061252,0.875391016856783,2.10257884474482,1.11104761360472,0,0,0,0,0,0,0,1.88988157484231,0,0,0,0,0,0,0,0,3,0,1,0,0,5,0,0,0,1,3,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.39,6.63520408163265,4.5,0.357142857142857,1027.05,0.578947368421053,339,13.880468888624,8.96534506082868,8.68167092837539,6.38461061194779,4.32826036885763,3.18379712229411,2.12329275048086,1.44407235578536,12.12127847999,7.09118616882831,6.2560950326293,3.53591725378151,2.34028058070792,1.4206555965316,0.865135336776289,0.471692970946005,3.56281706351525,3.50521781017897,3.65341323974422,1.64643382027904,1.8697858281407,1.62697712398861,2.10760702758164,0.288675134594813,0.695705769029128,0.204124145231932,1.59243275635833,0.25,0.233173017612776,0.0721687836487032,0,0,0.117851130197758,0.253436787693276,0.262188697495164,0,0,0.025,0.0751936367397689,0.0674312101942361,0,0,1,6,1,4,0,0,1,1286.97944543822,1450.41413519631,1920.10984253824,1625.43008073109,1351.96784757547,26.9821629778204,24.6963704202368,35.9455680361371,34.1689745954412,27.5068701939685,0.274064933912276,-0.136132227189768,0.011989936757594,0.0118828840623835,-0.0856175325811394,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.802519,42.977481
